,Size,Mobility,Activity,Gregariousness,Position,Diet
Abantennarius_coccineus,2,1,D,1,1,FC
Abantennarius_sanguineus,2,1,D,1,1,FC
Ablennes_hians,6,4,D,4,1,FC
Abudefduf_concolor,3,2,D,3,1,HD
Abudefduf_declivifrons,3,2,D,3,1,HD
Abudefduf_saxatilis,3,2,D,4,1,FC
Abudefduf_taurus,3,2,D,3,1,HD
Abudefduf_troschelii,3,2,D,4,2,Pk
Acanthemblemaria_balanorum,1,1,D,1,1,Pk
Acanthemblemaria_crockeri,1,1,D,1,1,Pk
Acanthemblemaria_macrospilus,1,1,D,1,1,Pk
Acanthemblemaria_sp.,1,1,D,1,1,Pk
Acanthocybium_solandri,6,4,D,3,3,FC
Acanthostracion_notacanthus,4,2,D,1,1,IS
Acanthurus_achilles,3,2,D,3,3,HD
Acanthurus_bahianus,4,3,D,3,3,HD
Acanthurus_chirurgus,4,3,D,3,3,HD
Acanthurus_coeruleus,4,3,D,3,3,HD
Acanthurus_glaucopareius,4,3,D,1,2,HD
Acanthurus_nigricans,4,1,D,3,2,HD
Acanthurus_sp.,4,3,D,3,2,HD
Acanthurus_triostegus,3,4,D,4,1,HD
Acanthurus_xanthopterus,5,3,D,3,1,HD
Achirus_mazatlanus,3,3,D,1,1,FC
Achirus_scutum,3,3,D,1,1,IM
Albula_argentea,5,2,D,1,1,IM
Albula_esuncula,4,4,D,3,1,IM
Albula_gilberti,3,2,D,1,2,IM
Albula_nemoptera,5,3,D,1,1,IM
Albula_pacifica,5,3,D,1,1,IM
Albula_sp.,5,4,D,1,2,IM
Albula_vulpes,6,2,D,3,1,IM
Alectis_ciliaris,6,4,D,3,3,FC
Alloclinus_holderi,2,1,D,1,1,IM
Alphestes_afer,4,1,N,1,1,IM
Alphestes_immaculatus,3,1,N,1,1,IM
Alphestes_multiguttatus,3,1,N,1,1,IM
Aluterus_monoceros,5,4,D,2,2,HD
Aluterus_scriptus,6,4,D,1,2,OM
Ammodytoides_gilli,2,2,D,1,1,IM
Amphiatichus_koelzi,4,2,D,1,3,IM
Amphistichus_argenteus,4,3,D,3,2,IM
Amphistichus_rhodoterus,4,3,D,1,3,IM
Anarchias_galapagensis,3,1,N,1,1,IM
Anarrhichthys_ocellatus,6,1,D,1,1,FC
Anchoa_argentivittata,2,2,D,3,3,Pk
Anchoa_compressa,2,2,D,3,3,Pk
Anchoa_curta,2,2,D,1,3,Pk
Anchoa_delicatissima,2,2,D,3,2,Pk
Anchoa_exigua,1,2,D,3,3,Pk
Anchoa_helleri,2,2,D,4,3,Pk
Anchoa_ischana,3,2,D,3,3,Pk
Anchoa_lucida,2,2,D,3,3,Pk
Anchoa_mundeoloides,2,2,D,3,3,Pk
Anchoa_nasus,3,2,D,3,3,Pk
Anchoa_scofieldi,1,2,D,1,3,Pk
Anchoa_sp.,2,2,D,3,3,Pk
Anchoa_walkeri,2,2,D,3,3,Pk
Anchovia_macrolepidota,3,2,D,4,3,Pk
Ancylopsetta_dendritica,4,2,D,1,1,FC
Anisotremus_caesius,3,3,N,3,3,IM
Anisotremus_davidsonii,5,4,N,4,2,IM
Anisotremus_interruptus,5,4,N,3,2,IM
Anisotremus_sp.,5,4,N,3,2,IM
Anisotremus_surinamensis,5,3,N,3,1,IM
Anisotremus_taeniatus,4,3,N,3,2,FC
Anisotremus_virginicus,4,3,N,3,1,IM
Anoplogaster_cornuta,3,2,D,3,2,FC
Antennarius_commerson,4,1,N,1,1,FC
Antennatus_strigatus,2,1,D,1,1,FC
Antennatus_tuberosus,2,2,D,1,1,FC
Antimora_microlepis,5,4,D,1,2,IM
Apodichthys_fucorum,3,1,D,1,1,IM
Apogon_atradorsatus,2,1,N,3,2,IM
Apogon_atricaudus,2,1,N,3,2,IM
Apogon_dovii,2,1,N,3,2,IM
Apogon_guadalupensis,2,1,N,3,1,FC
Apogon_pacificus,2,1,N,3,2,Pk
Apogon_retrosella,2,1,N,3,2,Pk
Apogon_sp.,2,1,N,3,2,Pk
Apterichtus_equatorialis,4,2,N,1,1,IM
Argentina_sialis,3,2,D,1,2,Pk
Argyropelecus_affinis,2,2,D,1,2,IM
Argyropelecus_hemigymnus,1,2,N,1,2,FC
Argyropelecus_lychnus,1,2,D,1,2,IM
Argyropelecus_sladeni,2,2,D,1,2,IM
Ariopsis_guatemalensis,5,3,D,1,1,FC
Ariopsis_seemanni,4,4,D,1,1,FC
Ariosoma_gilberti,3,1,N,1,1,IM
Aristostomias_scintillans,3,2,D,1,2,IM
Arothron_hispidus,4,2,D,1,2,IS
Arothron_meleagris,4,2,D,1,2,IS
Arothron_setosus,4,2,D,1,2,IS
Artedius_corallinus,2,1,D,1,1,IM
Artedius_notospilotus,3,1,D,1,1,FC
Aruma_histrio,1,1,D,1,1,IM
Aseraggodes_herrei,2,2,D,1,1,FC
Astroscopus_zephyreus,4,3,D,1,1,FC
Atherinella_balsana,2,3,D,1,2,Pk
Atherinella_eriarcha,2,4,D,3,3,Pk
Atherinella_nepenthe,2,4,D,1,3,Pk
Atherinops_affinis,4,2,D,3,3,Pk
Atherinops_sp.,4,2,D,3,3,Pk
Atherinopsis_californiensis,4,2,D,3,3,HD
Atherinopsis_sp.,4,2,D,3,3,HD
Atractoscion_nobilis,6,4,N,4,1,FC
Aulopus_bajacali,3,2,D,1,1,FC
Aulorhynchus_flavidus,3,2,D,4,2,Pk
Aulostomus_chinensis,5,2,D,1,2,FC
Aulostomus_maculatus,6,2,D,3,1,FC
Auxis_brachydorax,4,4,D,1,3,FC
Auxis_rochei,4,4,D,3,3,FC
Auxis_thazard,5,4,D,1,3,FC
Avocettina_infans,5,1,D,1,2,IM
Axoclinus_sp.,1,1,D,1,1,OM
Axoclinus_storeyae,1,2,D,1,1,OM
Azurina_atrilobata,2,2,D,3,2,Pk
Azurina_cyanea,2,2,D,3,2,Pk
Azurina_hirundo,2,1,D,3,2,Pk
Azurina_multilineata,3,2,D,4,2,Pk
Bagre_panamensis,5,4,D,1,1,FC
Bagre_pinnimaculatus,6,4,D,1,1,FC
Bairdiella_armata,3,3,D,1,2,IM
Bairdiella_icistia,3,3,D,1,1,FC
Balistes_polylepis,5,3,D,1,1,IM
Balistes_vetula,5,3,D,1,1,IM
Barbulifer_mexicanus,1,1,D,1,1,IM
Barbulifer_pantherinus,1,1,D,1,1,IM
Bascanichthys_bascanoides,5,2,D,1,1,IM
Bascanichthys_panamensis,5,2,D,1,1,IM
Bathygobius_lineatus,2,1,D,1,1,IM
Bathygobius_ramosus,3,1,D,1,1,IM
Bathygobius_soporator,2,1,D,1,1,IM
Bathylagus_pacificus,3,1,D,1,2,IM
Bathylychnops_exilis,5,4,D,1,2,Pk
Batrachoides_pacifici,4,1,D,1,1,IM
Bellator_gymnostethus,2,3,D,1,1,Pk
Bellator_loxias,2,3,D,1,1,FC
Bellator_xenisma,2,3,D,1,1,FC
Benthosema_panamense,1,2,N,4,3,Pk
Bodianus_diplotaenia,5,3,D,1,1,IM
Bodianus_pulcher,6,4,D,1,1,IM
Bodianus_rufus,4,3,D,1,1,IM
Bolinichthys_longipes,1,1,N,1,2,Pk
Bolinichthys_pyrsobolus,2,2,N,1,3,Pk
Bollmannia_macropoma,2,1,D,1,1,IM
Bollmannia_ocellata,2,1,D,1,1,IM
Borostomias_panamensis,3,1,D,1,3,Pk
Bothus_constellatus,3,1,D,1,1,FC
Bothus_leopardinus,3,2,D,1,1,FC
Bothus_lunatus,4,1,D,1,1,FC
Bothus_mancus,5,2,N,1,1,FC
Brachygenys_californiensis,3,3,N,4,2,Pk
Brachygenys_chrysargyreum,3,3,N,3,1,Pk
Brachyistius_aletes,3,2,D,1,1,IM
Brachyistius_frenatus,3,2,D,4,1,IM
Brama_japonica,5,4,D,1,3,FC
Bregmaceros_bathymaster,2,2,D,1,3,Pk
Bregmaceros_mcclellandi,2,3,D,1,3,Pk
Brockius_striatus,1,1,D,1,1,IM
Brosmophycis_marginata,4,1,N,1,1,IM
Brotula_clarkae,6,2,N,1,2,IM
Brotula_ordwayi,5,2,N,1,2,IM
Bryx_veleronis,1,1,D,1,2,Pk
Calamus_brachysomus,5,3,D,3,1,IM
Calamus_penna,4,3,D,3,1,IM
Calamus_pennatula,4,3,D,3,1,IM
Calamus_taurinus,4,3,D,3,2,IM
Callechelys_cliffi,4,2,N,1,1,IM
Callechelys_eristigma,6,2,N,1,1,IM
Calotomus_carolinus,5,3,D,1,2,HD
Calotomus_spinidens,3,3,D,1,2,HD
Cantherhines_dumerilii,4,3,D,2,2,OM
Cantherhines_sandwichiensis,3,3,D,2,2,HD
Canthidermis_maculata,4,3,D,4,2,Pk
Canthigaster_jamestyleri,2,1,D,1,1,OM
Canthigaster_punctatissima,2,1,D,2,1,IS
Canthigaster_rostrata,2,1,D,3,1,OM
Carangoides_ferdau,5,4,D,3,3,FC
Carangoides_orthogrammus,5,4,D,3,3,FC
Carangoides_otrynter,5,4,D,1,2,FC
Caranx_bartholomaei,6,4,D,1,2,FC
Caranx_caballus,5,4,D,3,2,FC
Caranx_caninus,6,4,D,4,2,FC
Caranx_crysos,5,4,D,4,2,FC
Caranx_hippos,6,4,D,4,3,FC
Caranx_latus,6,4,D,4,3,FC
Caranx_lugubris,6,4,N,4,2,FC
Caranx_melampygus,6,4,D,3,2,FC
Caranx_orthogrammus,5,4,D,3,2,FC
Caranx_otrynter,5,4,D,1,2,FC
Caranx_rhonchus,5,4,D,4,2,FC
Caranx_ruber,5,4,D,4,2,FC
Caranx_sexfasciatus,6,4,N,4,2,FC
Caranx_sp.,6,4,D,4,2,FC
Caranx_vinctus,4,4,D,4,3,FC
Carapus_dubius,2,1,N,1,1,Pk
Cathorops_dasycephalus,4,4,D,1,1,FC
Caulolatilus_affinis,4,3,D,1,1,IM
Caulolatilus_hubbsi,4,3,D,1,1,IM
Caulolatilus_princeps,6,3,D,1,1,IM
Caulolatilus_sp.,4,3,D,1,1,IM
Cebidichthys_violaceus,5,1,D,1,1,HD
Centropomus_medius,5,4,D,1,1,FC
Centropomus_nigrescens,6,3,D,1,1,FC
Centropomus_robalito,4,3,D,1,3,FC
Centropomus_unionensis,4,3,D,1,1,FC
Centropomus_viridis,6,4,D,1,1,FC
Centropyge_bicolor,2,1,D,3,2,IM
Cephalopholis_cruentata,4,3,N,1,1,FC
Cephalopholis_fulva,4,3,N,1,1,FC
Cephalopholis_panamensis,4,1,N,1,1,FC
Ceratoscopelus_townsendi,3,2,N,1,2,IM
Cetengraulis_mysticetus,3,3,D,4,3,IS
Chaenomugil_proboscideus,3,3,D,3,2,HD
Chaenopsis_alepidota,2,1,D,1,1,IM
Chaenopsis_coheni,2,1,D,1,1,IM
Chaetodipterus_zonatus,5,3,D,3,2,IM
Chaetodon_capistratus,2,1,D,2,1,IS
Chaetodon_humeralis,3,1,D,3,3,OM
Chaetodon_meyeri,3,1,D,2,3,IS
Chaetodon_ocellatus,3,1,D,2,1,IS
Chaetodon_sedentarius,2,1,D,2,1,IS
Chaetodon_striatus,3,1,D,2,1,IS
Channomuraena_vittata,6,1,N,1,1,FC
Chanos_chanos,6,4,D,4,2,OM
Chauliodus_macouni,3,2,N,1,2,FC
Cheilopogon_atrisignis,4,4,D,1,3,Pk
Cheilopogon_californicus,4,4,D,1,3,Pk
Cheilopogon_dorsomacula,3,4,D,1,3,Pk
Cheilopogon_heterurus,4,4,D,1,3,Pk
Cheilopogon_hubbsi,4,4,D,1,3,Pk
Cheilopogon_papilio,3,4,D,1,3,Pk
Cheilopogon_pinnatibarbatus,4,4,D,1,3,FC
Cheilopogon_spilonotopterus,4,4,D,1,3,FC
Cheilopogon_unicolor,4,4,D,1,3,Pk
Cheilopogon_xenopterus,3,4,D,1,3,Pk
Cheilotrema_saturnum,4,3,D,3,1,IM
Cherublemma_emmelas,3,1,D,1,1,IM
Chiasmodon_niger,3,1,D,1,2,FC
Chilara_taylori,4,1,N,1,1,IM
Chiloconger_dentatus,3,1,D,1,1,FC
Chilomycterus_reticulatus,5,2,N,1,1,IM
Chloroscombrus_chrysurus,5,4,D,4,3,Pk
Chloroscombrus_orqueta,3,4,D,3,2,HD
Chriolepis_cuneata,1,1,D,1,1,IM
Chriolepis_semisquamata,1,1,D,1,1,IM
Chromis_alta,2,1,D,4,2,Pk
Chromis_insolata,3,1,D,3,2,Pk
Chromis_limbaughi,2,1,D,3,1,Pk
Chromis_punctipinnis,3,1,D,3,1,OM
Chromis_scotti,2,1,D,3,2,Pk
Chromis_sp.,2,1,D,3,2,Pk
Cirrhitichthys_oxycephalus,2,1,D,1,1,FC
Cirrhitus_rivulatus,5,2,D,1,1,FC
Citharichthys_fragilis,3,2,D,1,1,FC
Citharichthys_gilberti,3,1,D,1,1,FC
Citharichthys_gordae,2,2,D,1,1,FC
Citharichthys_platophrys,3,2,D,1,1,FC
Citharichthys_stigmaeus,3,2,D,1,1,IM
Citharichthys_xanthostigma,3,2,D,1,1,FC
Clarkichthys_bilineatus,1,1,D,1,1,IM
Clepticus_parrae,3,2,D,4,2,Pk
Clevelandia_ios,1,1,D,1,1,HD
Clinocottus_analis,3,1,D,1,1,HD
Clinocottus_recalvus,2,2,D,1,3,HD
Clupea_sp.,4,3,D,3,2,FC
Coelorinchus_scaphopsis,4,3,D,1,2,IM
Cololabis_saira,4,4,D,3,3,IM
Colpichthys_hubbsi,2,2,D,1,1,IM
Colpichthys_regis,2,2,D,1,1,IM
Congriscus_megastoma,4,1,D,1,1,FC
Conodon_serrifer,4,3,D,1,1,IM
Cookeolus_japonicus,5,2,N,1,2,IM
Coralliozetus_boehlkei,1,1,D,1,1,IM
Coralliozetus_micropes,1,2,D,1,3,Pk
Corvula_macrops,3,3,D,3,2,Pk
Coryphaena_equiselis,6,4,D,3,3,FC
Coryphaena_hippurus,6,4,D,3,3,FC
Coryphaenoides_acrolepis,6,3,D,1,2,FC
Coryphaenoides_armatus,6,3,D,1,2,FC
Coryphaenoides_yaquinae,5,3,D,1,2,FC
Coryphopterus_glaucofraenum,2,1,D,1,1,HD
Coryphopterus_personatus,1,1,D,4,2,Pk
Coryphopterus_urospilus,1,1,D,1,1,IM
Cosmocampus_arctus,2,1,N,1,1,Pk
Crocodilichthys_gracilis,1,1,D,1,1,OM
Cryptacanthodes_giganteus,6,1,D,1,1,IM
Cryptotrema_corallinum,2,1,D,1,1,IM
Cryptotrema_seftoni,1,1,D,1,1,IM
Ctenochaetus_marginatus,3,1,D,3,2,HD
Ctenogobius_sagittula,3,1,D,1,1,IM
Cyclopsetta_chittendeni,4,2,D,1,1,IM
Cyclopsetta_panamensis,4,2,D,1,1,FC
Cyclopsetta_querna,4,2,D,1,1,FC
Cyclothone_acclinidens,1,2,N,1,2,Pk
Cyclothone_braueri,1,2,D,1,2,Pk
Cyclothone_microdon,1,2,D,1,2,Pk
Cyclothone_pallida,1,2,D,1,2,Pk
Cyclothone_pseudopallida,1,2,D,1,2,Pk
Cyclothone_signata,1,2,D,1,2,Pk
Cyema_atrum,2,2,D,1,2,Pk
Cymatogaster_aggregata,3,2,D,3,1,IM
Cynoponticus_coniceps,6,1,D,1,1,FC
Cynoscion_nannus,3,3,D,1,2,FC
Cynoscion_nobilis,6,3,D,3,1,FC
Cynoscion_othonopterus,5,3,D,1,2,FC
Cynoscion_parvipinnis,5,3,D,1,1,FC
Cynoscion_phoxocephalus,5,2,D,1,1,FC
Cynoscion_reticulatus,6,3,D,1,1,FC
Cynoscion_sp.,6,3,D,1,2,FC
Cynoscion_squamipinnis,5,3,D,1,3,FC
Cynoscion_stolzmanni,6,3,D,1,1,FC
Cynoscion_xanthulus,6,3,D,1,2,FC
Cypselurus_angusticeps,3,4,D,1,3,Pk
Cypselurus_callopterus,3,4,D,1,3,Pk
Cypselurus_simus,3,4,D,1,3,Pk
Dactylagnus_mundus,2,1,D,1,1,IM
Dactyloscopus_amnis,2,2,D,1,1,FC
Dactyloscopus_byersorum,1,1,D,1,1,FC
Dactyloscopus_elongatus,1,1,D,1,1,IM
Dactyloscopus_heraldi,1,1,D,1,1,IM
Dactyloscopus_insulatus,1,1,D,1,1,IM
Dactyloscopus_lunaticus,1,1,D,1,1,IM
Dactyloscopus_pectoralis,1,2,D,1,1,IM
Dajaus_monticola,4,3,D,3,3,FC
Danaphos_oculatus,1,1,D,1,2,Pk
Decapterus_macarellus,4,4,D,3,3,Pk
Decapterus_macrosoma,4,4,N,3,3,Pk
Decapterus_muroadsi,4,4,D,3,3,Pk
Decapterus_punctatus,3,4,D,4,3,Pk
Decapterus_sp.,4,4,D,3,3,Pk
Decapterus_tabl,4,4,D,4,1,Pk
Decodon_melasma,4,2,D,1,1,IM
Derichthys_serpentinus,4,3,D,1,2,FC
Dermatolepis_dermatolepis,6,3,D,1,1,FC
Dermatolepis_sp.,6,3,D,1,1,FC
Desmodema_lorum,6,3,D,1,2,FC
Dialommus_macrocephalus,2,2,D,1,1,IM
Diaphus_theta,2,1,D,1,2,IM
Diapterus_brevirostris,4,3,D,1,1,FC
Diapterus_peruvianus,4,3,D,1,1,FC
Diodon_eydouxii,3,2,D,3,3,Pk
Diodon_holocanthus,4,2,N,1,1,IM
Diodon_hystrix,4,2,N,1,1,IM
Diogenichthys_atlanticus,1,1,N,1,2,Pk
Diogenichthys_laternatus,1,2,D,1,3,Pk
Diplectrum_eumelum,4,3,D,1,1,FC
Diplectrum_euryplectrum,3,3,D,1,1,IM
Diplectrum_labarum,3,3,D,1,1,IM
Diplectrum_macropoma,3,3,D,1,1,IM
Diplectrum_maximum,4,2,D,1,2,FC
Diplectrum_pacificum,4,3,D,1,1,FC
Diplectrum_rostrum,3,3,D,1,2,IM
Diplectrum_sciurus,3,3,D,1,1,IM
Dolichopteryx_longipes,3,1,D,1,2,Pk
Dormitator_latifrons,4,1,D,1,1,HD
Dorosoma_petenense,4,2,D,3,3,Pk
Doryrhamphus_excisus,1,1,N,2,1,Pk
Echeneis_naucrates,6,4,D,1,3,FC
Echidna_nebulosa,6,1,N,1,1,IM
Echidna_nocturna,6,1,N,1,1,IM
Echiodon_exsilium,2,1,N,1,1,Pk
Echiophis_brunneus,6,2,D,1,1,IM
Ekemblemaria_myersi,1,1,D,1,1,IM
Elacatinus_jarocho,1,1,D,3,2,Pk
Elacatinus_oceanops,1,1,D,3,1,IM
Elacatinus_punticulatus,1,1,D,1,1,IS
Elacatinus_sp.,1,1,D,3,1,IM
Elagatis_bipinnulata,6,4,D,3,3,FC
Elattarchus_archidium,4,3,D,1,3,FC
Elops_affinis,6,4,N,4,3,FC
Elops_saurus,6,4,D,4,1,FC
Embiotoca_jacksoni,4,1,D,3,1,IM
Embiotoca_lateralis,4,2,D,1,1,IM
Emblemaria_hypacanthus,1,1,D,1,1,Pk
Emblemaria_walkeri,1,1,D,1,1,Pk
Encheliophis_vermicularis,2,1,N,1,1,IM
Enchelycore_octaviana,6,1,N,1,1,FC
Enchelycore_pardalis,6,1,D,1,1,FC
Enchelynassa_canina,6,1,N,1,1,FC
Engraulis_mordax,3,3,D,4,3,Pk
Enneanectes_reticulatus,1,1,D,1,1,IM
Enneanectes_sp.,1,1,D,1,1,IM
Entomacrodus_chiostictus,2,1,D,1,1,HD
Epinephelus_acanthistius,6,3,D,1,1,FC
Epinephelus_adscensionis,5,3,N,1,1,IM
Epinephelus_analogus,6,3,N,1,1,FC
Epinephelus_cifuentesi,6,3,N,1,1,FC
Epinephelus_clippertonensis,5,3,N,1,1,IM
Epinephelus_fasciatus,4,3,D,1,1,FC
Epinephelus_guttatus,3,2,D,1,1,FC
Epinephelus_itajara,6,3,N,1,1,FC
Epinephelus_labriformis,5,3,N,1,1,FC
Epinephelus_quinquefasciatus,6,4,D,1,1,FC
Erotelis_armiger,4,1,D,1,1,HD
Esselenichthys_carli,3,1,D,1,1,IM
Esselenichthys_laurae,2,1,D,1,1,IM
Etropus_ciadi,2,3,D,1,1,FC
Etropus_crossotus,3,3,D,1,1,FC
Etropus_peruvianus,3,3,D,1,1,FC
Etropus_sp.,3,3,D,1,1,FC
Etrumeus_sadina,4,4,D,4,3,Pk
Eucinostomus_argenteus,3,3,D,1,1,OM
Eucinostomus_currani,3,3,D,3,1,OM
Eucinostomus_dowii,3,3,D,1,1,IM
Eucinostomus_entomelas,3,3,D,3,1,OM
Eucinostomus_gracilis,3,3,D,1,1,IM
Eucinostomus_melanopterus,3,3,D,3,1,FC
Eucinostomus_sp.,3,3,D,3,1,OM
Eucyclogobius_newberryi,1,1,D,1,1,IM
Eugerres_axillaris,3,3,D,3,1,OM
