Species,Size,Mobility,Activity,Gregariousness,Position,Diet
Abantennarius_coccineus,2,1,D,1,1,FC
Abantennarius_sanguineus,2,1,D,1,1,FC
Ablennes_hians,6,4,D,4,1,FC
Abudefduf_concolor,3,2,D,3,1,HD
Abudefduf_declivifrons,3,2,D,3,1,HD
Abudefduf_saxatilis,3,2,D,4,1,FC
Abudefduf_taurus,3,2,D,3,1,HD
Abudefduf_troschelii,3,2,D,4,2,Pk
Acanthemblemaria_balanorum,1,1,D,1,1,Pk
Acanthemblemaria_crockeri,1,1,D,1,1,Pk
Acanthemblemaria_macrospilus,1,1,D,1,1,Pk
Acanthocybium_solandri,6,4,D,3,3,FC
Acanthostracion_notacanthus,4,2,D,1,1,IS
Acanthurus_achilles,3,2,D,3,3,HD
Acanthurus_bahianus,4,3,D,3,3,HD
Acanthurus_chirurgus,4,3,D,3,3,HD
Acanthurus_coeruleus,4,3,D,3,3,HD
Acanthurus_glaucopareius,4,3,D,1,2,HD
Acanthurus_nigricans,4,1,D,3,2,HD
Acanthurus_triostegus,3,4,D,4,1,HD
Acanthurus_xanthopterus,5,3,D,3,1,HD
Achirus_mazatlanus,3,3,D,1,1,FC
Achirus_scutum,3,3,D,1,1,IM
Albula_argentea,5,2,D,1,1,IM
Albula_esuncula,4,4,D,3,1,IM
Albula_gilberti,3,2,D,1,2,IM
Albula_nemoptera,5,3,D,1,1,IM
Albula_pacifica,5,3,D,1,1,IM
Albula_vulpes,6,2,D,3,1,IM
Alectis_ciliaris,6,4,D,3,3,FC
Alloclinus_holderi,2,1,D,1,1,IM
Alphestes_afer,4,1,N,1,1,IM
Alphestes_immaculatus,3,1,N,1,1,IM
Alphestes_multiguttatus,3,1,N,1,1,IM
Aluterus_monoceros,5,4,D,2,2,HD
Aluterus_scriptus,6,4,D,1,2,OM
Ammodytoides_gilli,2,2,D,1,1,IM
Amphiatichus_koelzi,4,2,D,1,3,Pk
Amphistichus_argenteus,4,3,D,3,2,Pk
Amphistichus_rhodoterus,4,3,D,1,3,Pk
Anarrhichthys_ocellatus,6,1,D,1,1,Pk
Anchoa_argentivittata,2,2,D,3,3,Pk
Anchoa_compressa,2,2,D,3,3,Pk
Anchoa_curta,2,2,D,1,3,Pk
Anchoa_delicatissima,2,2,D,3,2,Pk
Anchoa_exigua,1,2,D,3,3,Pk
Anchoa_helleri,2,2,D,4,3,Pk
Anchoa_ischana,3,2,D,3,3,FC
Anchoa_lucida,2,2,D,3,3,IM
Anchoa_mundeoloides,2,2,D,3,3,IM
Anchoa_nasus,3,2,D,3,3,IM
Anchoa_scofieldi,1,2,D,1,3,IM
Anchoa_walkeri,2,2,D,3,3,FC
Anchovia_macrolepidota,3,2,D,4,3,IM
Ancylopsetta_dendritica,4,2,D,1,1,FC
Anisotremus_caesius,3,3,N,3,3,FC
Anisotremus_davidsonii,5,4,N,4,2,FC
Anisotremus_interruptus,5,4,N,3,2,IM
Anisotremus_surinamensis,5,3,N,3,1,IM
Anisotremus_taeniatus,4,3,N,3,2,IM
Anisotremus_virginicus,4,3,N,3,1,FC
Anoplogaster_cornuta,3,2,D,3,2,Pk
Antennarius_commerson,4,1,N,1,1,Pk
Antennatus_strigatus,2,1,D,1,1,Pk
Antennatus_tuberosus,2,2,D,1,1,IM
Apodichthys_fucorum,3,1,D,1,1,FC
Apogon_atradorsatus,2,1,N,3,2,IM
Apogon_atricaudus,2,1,N,3,2,IS
Apogon_dovii,2,1,N,3,2,IS
Apogon_guadalupensis,2,1,N,3,1,IS
Apogon_pacificus,2,1,N,3,2,IM
Apogon_retrosella,2,1,N,3,2,FC
Argentina_sialis,3,2,D,1,2,FC
Argyropelecus_affinis,2,2,D,1,2,Pk
Argyropelecus_hemigymnus,1,2,N,1,2,Pk
Argyropelecus_sladeni,2,2,D,1,2,Pk
Ariopsis_guatemalensis,5,3,D,1,1,HD
Ariopsis_seemanni,4,4,D,1,1,FC
Aristostomias_scintillans,3,2,D,1,2,Pk
Arothron_hispidus,4,2,D,1,2,FC
Arothron_meleagris,4,2,D,1,2,FC
Arothron_setosus,4,2,D,1,2,FC
Artedius_corallinus,2,1,D,1,1,FC
Artedius_notospilotus,3,1,D,1,1,FC
Aruma_histrio,1,1,D,1,1,IM
Aseraggodes_herrei,2,2,D,1,1,IM
Astroscopus_zephyreus,4,3,D,1,1,Pk
Atherinella_balsana,2,3,D,1,2,Pk
Atherinella_eriarcha,2,4,D,3,3,Pk
Atherinella_nepenthe,2,4,D,1,3,Pk
Atherinops_affinis,4,2,D,3,3,FC
Atherinopsis_californiensis,4,2,D,3,3,IM
Atractoscion_nobilis,6,4,N,4,1,IM
Aulorhynchus_flavidus,3,2,D,4,2,IM
Aulostomus_chinensis,5,2,D,1,2,IM
Aulostomus_maculatus,6,2,D,3,1,FC
Auxis_brachydorax,4,4,D,1,3,FC
Auxis_rochei,4,4,D,3,3,IM
Auxis_thazard,5,4,D,1,3,IM
Axoclinus_storeyae,1,2,D,1,1,FC
Azurina_atrilobata,2,2,D,3,2,FC
Azurina_cyanea,2,2,D,3,2,Pk
Azurina_hirundo,2,1,D,3,2,IM
Azurina_multilineata,3,2,D,4,2,IM
Bagre_panamensis,5,4,D,1,1,Pk
Bagre_pinnimaculatus,6,4,D,1,1,IM
Bairdiella_armata,3,3,D,1,2,IM
Bairdiella_icistia,3,3,D,1,1,FC
Balistes_polylepis,5,3,D,1,1,FC
Balistes_vetula,5,3,D,1,1,FC
Barbulifer_mexicanus,1,1,D,1,1,FC
Barbulifer_pantherinus,1,1,D,1,1,Pk
Bathygobius_lineatus,2,1,D,1,1,IM
Bathygobius_ramosus,3,1,D,1,1,Pk
Bathygobius_soporator,2,1,D,1,1,Pk
Batrachoides_pacifici,4,1,D,1,1,IM
Bellator_gymnostethus,2,3,D,1,1,IM
Bellator_loxias,2,3,D,1,1,Pk
Bellator_xenisma,2,3,D,1,1,IM
Benthosema_panamense,1,2,N,4,3,IM
Bodianus_diplotaenia,5,3,D,1,1,IM
Bodianus_pulcher,6,4,D,1,1,IM
Bodianus_rufus,4,3,D,1,1,IM
Bolinichthys_pyrsobolus,2,2,N,1,3,HD
Bollmannia_ocellata,2,1,D,1,1,OM
Bothus_constellatus,3,1,D,1,1,Pk
Bothus_leopardinus,3,2,D,1,1,OM
Bothus_lunatus,4,1,D,1,1,IS
Bothus_mancus,5,2,N,1,1,OM
Brachygenys_californiensis,3,3,N,4,2,FC
Brachygenys_chrysargyreum,3,3,N,3,1,FC
Brachyistius_aletes,3,2,D,1,1,FC
Brachyistius_frenatus,3,2,D,4,1,FC
Bregmaceros_mcclellandi,2,3,D,1,3,FC
Brockius_striatus,1,1,D,1,1,FC
Brosmophycis_marginata,4,1,N,1,1,FC
Brotula_clarkae,6,2,N,1,2,FC
Brotula_ordwayi,5,2,N,1,2,FC
Bryx_veleronis,1,1,D,1,2,FC
Calamus_brachysomus,5,3,D,3,1,FC
Calamus_penna,4,3,D,3,1,FC
Calamus_pennatula,4,3,D,3,1,FC
Calamus_taurinus,4,3,D,3,2,FC
Calotomus_carolinus,5,3,D,1,2,IM
Calotomus_spinidens,3,3,D,1,2,IM
Cantherhines_dumerilii,4,3,D,2,2,IM
Cantherhines_sandwichiensis,3,3,D,2,2,IM
Canthidermis_maculata,4,3,D,4,2,HD
Canthigaster_jamestyleri,2,1,D,1,1,FC
Canthigaster_punctatissima,2,1,D,2,1,FC
Canthigaster_rostrata,2,1,D,3,1,FC
Carangoides_ferdau,5,4,D,3,3,FC
Carangoides_orthogrammus,5,4,D,3,3,FC
Carangoides_otrynter,5,4,D,1,2,IM
Caranx_bartholomaei,6,4,D,1,2,FC
Caranx_caballus,5,4,D,3,2,FC
Caranx_caninus,6,4,D,4,2,FC
Caranx_crysos,5,4,D,4,2,IS
Caranx_hippos,6,4,D,4,3,HD
Caranx_latus,6,4,D,4,3,IM
Caranx_lugubris,6,4,N,4,2,IM
Caranx_melampygus,6,4,D,3,2,IM
Caranx_orthogrammus,5,4,D,3,2,IS
Caranx_otrynter,5,4,D,1,2,OM
Caranx_rhonchus,5,4,D,4,2,IS
Caranx_ruber,5,4,D,4,2,IS
Caranx_sexfasciatus,6,4,N,4,2,IS
Caranx_vinctus,4,4,D,4,3,FC
Carapus_dubius,2,1,N,1,1,OM
Cathorops_dasycephalus,4,4,D,1,1,Pk
Caulolatilus_affinis,4,3,D,1,1,Pk
Caulolatilus_hubbsi,4,3,D,1,1,Pk
Caulolatilus_princeps,6,3,D,1,1,Pk
Cebidichthys_violaceus,5,1,D,1,1,FC
Centropomus_medius,5,4,D,1,1,Pk
Centropomus_nigrescens,6,3,D,1,1,Pk
Centropomus_robalito,4,3,D,1,3,IM
Centropomus_unionensis,4,3,D,1,1,IM
Centropomus_viridis,6,4,D,1,1,IM
Centropyge_bicolor,2,1,D,3,2,IM
Cephalopholis_cruentata,4,3,N,1,1,Pk
Cephalopholis_fulva,4,3,N,1,1,HD
Cephalopholis_panamensis,4,1,N,1,1,IM
Cetengraulis_mysticetus,3,3,D,4,3,Pk
Chaenomugil_proboscideus,3,3,D,3,2,Pk
Chaenopsis_alepidota,2,1,D,1,1,Pk
Chaenopsis_coheni,2,1,D,1,1,Pk
Chaetodipterus_zonatus,5,3,D,3,2,OM
Chaetodon_capistratus,2,1,D,2,1,Pk
Chaetodon_humeralis,3,1,D,3,3,Pk
Chaetodon_meyeri,3,1,D,2,3,FC
Chaetodon_ocellatus,3,1,D,2,1,FC
Chaetodon_sedentarius,2,1,D,2,1,FC
Chaetodon_striatus,3,1,D,2,1,FC
Chanos_chanos,6,4,D,4,2,FC
Chauliodus_macouni,3,2,N,1,2,IM
Cheilopogon_atrisignis,4,4,D,1,3,FC
Cheilopogon_californicus,4,4,D,1,3,IM
Cheilopogon_dorsomacula,3,4,D,1,3,Pk
Cheilopogon_heterurus,4,4,D,1,3,HD
Cheilopogon_hubbsi,4,4,D,1,3,HD
Cheilopogon_papilio,3,4,D,1,3,FC
Cheilopogon_pinnatibarbatus,4,4,D,1,3,IM
Cheilopogon_spilonotopterus,4,4,D,1,3,IM
Cheilopogon_unicolor,4,4,D,1,3,IM
Cheilopogon_xenopterus,3,4,D,1,3,IM
Cheilotrema_saturnum,4,3,D,3,1,IM
Chilara_taylori,4,1,N,1,1,Pk
Chilomycterus_reticulatus,5,2,N,1,1,FC
Chloroscombrus_chrysurus,5,4,D,4,3,HD
Chloroscombrus_orqueta,3,4,D,3,2,Pk
Chriolepis_cuneata,1,1,D,1,1,IM
Chriolepis_semisquamata,1,1,D,1,1,Pk
Chromis_alta,2,1,D,4,2,OM
Chromis_insolata,3,1,D,3,2,IM
Chromis_limbaughi,2,1,D,3,1,IM
Chromis_punctipinnis,3,1,D,3,1,HD
Chromis_scotti,2,1,D,3,2,IM
Cirrhitichthys_oxycephalus,2,1,D,1,1,FC
Cirrhitus_rivulatus,5,2,D,1,1,IM
Citharichthys_fragilis,3,2,D,1,1,FC
Citharichthys_gilberti,3,1,D,1,1,FC
Citharichthys_gordae,2,2,D,1,1,FC
Citharichthys_platophrys,3,2,D,1,1,FC
Citharichthys_stigmaeus,3,2,D,1,1,FC
Citharichthys_xanthostigma,3,2,D,1,1,FC
Clarkichthys_bilineatus,1,1,D,1,1,FC
Clepticus_parrae,3,2,D,4,2,FC
Clevelandia_ios,1,1,D,1,1,Pk
Clinocottus_analis,3,1,D,1,1,Pk
Clinocottus_recalvus,2,2,D,1,3,Pk
Cololabis_saira,4,4,D,3,3,IM
Colpichthys_hubbsi,2,2,D,1,1,IM
Colpichthys_regis,2,2,D,1,1,IM
Conodon_serrifer,4,3,D,1,1,IM
Cookeolus_japonicus,5,2,N,1,2,FC
Coralliozetus_boehlkei,1,1,D,1,1,Pk
Coralliozetus_micropes,1,2,D,1,3,Pk
Corvula_macrops,3,3,D,3,2,Pk
Coryphaena_equiselis,6,4,D,3,3,Pk
Coryphaena_hippurus,6,4,D,3,3,Pk
Coryphopterus_glaucofraenum,2,1,D,1,1,FC
Coryphopterus_personatus,1,1,D,4,2,FC
Coryphopterus_urospilus,1,1,D,1,1,Pk
Cosmocampus_arctus,2,1,N,1,1,IM
Crocodilichthys_gracilis,1,1,D,1,1,IM
Cryptacanthodes_giganteus,6,1,D,1,1,Pk
Cryptotrema_corallinum,2,1,D,1,1,FC
Cryptotrema_seftoni,1,1,D,1,1,IM
Ctenochaetus_marginatus,3,1,D,3,2,IM
Ctenogobius_sagittula,3,1,D,1,1,IM
Cyclopsetta_chittendeni,4,2,D,1,1,FC
Cyclopsetta_panamensis,4,2,D,1,1,IM
Cyclopsetta_querna,4,2,D,1,1,IM
Cyclothone_acclinidens,1,2,N,1,2,HD
Cyclothone_braueri,1,2,D,1,2,Pk
Cyclothone_pallida,1,2,D,1,2,FC
Cyclothone_pseudopallida,1,2,D,1,2,IM
Cyclothone_signata,1,2,D,1,2,IM
Cymatogaster_aggregata,3,2,D,3,1,IM
Cynoscion_nobilis,6,3,D,3,1,IS
Cynoscion_othonopterus,5,3,D,1,2,IM
Cynoscion_parvipinnis,5,3,D,1,1,FC
Cynoscion_phoxocephalus,5,2,D,1,1,FC
Cynoscion_reticulatus,6,3,D,1,1,FC
Cynoscion_squamipinnis,5,3,D,1,3,IM
Cynoscion_stolzmanni,6,3,D,1,1,Pk
Cynoscion_xanthulus,6,3,D,1,2,Pk
Cypselurus_angusticeps,3,4,D,1,3,IM
Cypselurus_callopterus,3,4,D,1,3,FC
Cypselurus_simus,3,4,D,1,3,Pk
Dactylagnus_mundus,2,1,D,1,1,IM
Dactyloscopus_amnis,2,2,D,1,1,HD
Dactyloscopus_byersorum,1,1,D,1,1,FC
Dactyloscopus_elongatus,1,1,D,1,1,IM
Dactyloscopus_heraldi,1,1,D,1,1,FC
Dactyloscopus_insulatus,1,1,D,1,1,FC
Dactyloscopus_lunaticus,1,1,D,1,1,IM
Dactyloscopus_pectoralis,1,2,D,1,1,FC
Dajaus_monticola,4,3,D,3,3,FC
Decapterus_macarellus,4,4,D,3,3,FC
Decapterus_macrosoma,4,4,N,3,3,HD
Decapterus_muroadsi,4,4,D,3,3,IM
Decapterus_punctatus,3,4,D,4,3,IM
Decapterus_tabl,4,4,D,4,1,FC
Decodon_melasma,4,2,D,1,1,FC
Dermatolepis_dermatolepis,6,3,D,1,1,Pk
Desmodema_lorum,6,3,D,1,2,OM
Dialommus_macrocephalus,2,2,D,1,1,IM
Diaphus_theta,2,1,D,1,2,OM
Diapterus_brevirostris,4,3,D,1,1,IM
Diapterus_peruvianus,4,3,D,1,1,IM
Diodon_eydouxii,3,2,D,3,3,OM
Diodon_holocanthus,4,2,N,1,1,OM
Diodon_hystrix,4,2,N,1,1,Pk
Diogenichthys_atlanticus,1,1,N,1,2,FC
Diogenichthys_laternatus,1,2,D,1,3,FC
Diplectrum_eumelum,4,3,D,1,1,IM
Diplectrum_euryplectrum,3,3,D,1,1,IM
Diplectrum_labarum,3,3,D,1,1,Pk
Diplectrum_macropoma,3,3,D,1,1,Pk
Diplectrum_maximum,4,2,D,1,2,FC
Diplectrum_pacificum,4,3,D,1,1,FC
Diplectrum_rostrum,3,3,D,1,2,FC
Diplectrum_sciurus,3,3,D,1,1,Pk
Dormitator_latifrons,4,1,D,1,1,IS
Dorosoma_petenense,4,2,D,3,3,IM
Doryrhamphus_excisus,1,1,N,2,1,FC
Echeneis_naucrates,6,4,D,1,3,IM
Echiodon_exsilium,2,1,N,1,1,IM
Ekemblemaria_myersi,1,1,D,1,1,IM
Elacatinus_jarocho,1,1,D,3,2,IM
Elacatinus_oceanops,1,1,D,3,1,FC
Elacatinus_punticulatus,1,1,D,1,1,IM
Elagatis_bipinnulata,6,4,D,3,3,FC
Elattarchus_archidium,4,3,D,1,3,IM
Elops_affinis,6,4,N,4,3,IM
Elops_saurus,6,4,D,4,1,HD
Embiotoca_jacksoni,4,1,D,3,1,HD
Embiotoca_lateralis,4,2,D,1,1,IM
Emblemaria_hypacanthus,1,1,D,1,1,FC
Emblemaria_walkeri,1,1,D,1,1,IM
Encheliophis_vermicularis,2,1,N,1,1,IM
Engraulis_mordax,3,3,D,4,3,IM
Enneanectes_reticulatus,1,1,D,1,1,IM
Entomacrodus_chiostictus,2,1,D,1,1,IM
Epinephelus_acanthistius,6,3,D,1,1,IM
Epinephelus_adscensionis,5,3,N,1,1,IM
Epinephelus_analogus,6,3,N,1,1,Pk
Epinephelus_cifuentesi,6,3,N,1,1,Pk
Epinephelus_clippertonensis,5,3,N,1,1,IM
Epinephelus_fasciatus,4,3,D,1,1,IM
Epinephelus_guttatus,3,2,D,1,1,IM
Epinephelus_itajara,6,3,N,1,1,FC
Epinephelus_labriformis,5,3,N,1,1,FC
Epinephelus_quinquefasciatus,6,4,D,1,1,FC
Erotelis_armiger,4,1,D,1,1,FC
Esselenichthys_carli,3,1,D,1,1,FC
Esselenichthys_laurae,2,1,D,1,1,IM
Etropus_ciadi,2,3,D,1,1,FC
Etropus_crossotus,3,3,D,1,1,FC
Etropus_peruvianus,3,3,D,1,1,FC
Etrumeus_sadina,4,4,D,4,3,OM
Eucinostomus_argenteus,3,3,D,1,1,IM
Eucinostomus_currani,3,3,D,3,1,FC
Eucinostomus_dowii,3,3,D,1,1,IM
Eucinostomus_entomelas,3,3,D,3,1,IM
Eucinostomus_gracilis,3,3,D,1,1,FC
Eucinostomus_melanopterus,3,3,D,3,1,IM
Eucyclogobius_newberryi,1,1,D,1,1,IM
Eugerres_axillaris,3,3,D,3,1,IM
Eugerres_lineatus,3,3,D,1,2,FC
Euleptorhamphus_viridis,5,4,D,1,3,FC
Euthynnus_affinis,6,4,D,4,3,IM
Euthynnus_lineatus,6,4,D,3,3,Pk
Evermannia_longipinnis,1,1,D,1,1,Pk
Evermannia_zosterura,1,2,D,1,1,IM
Exerpes_asper,1,1,D,1,1,IM
Exocoetus_monocirrhus,3,4,D,1,3,IM
Exocoetus_volitans,3,4,D,3,3,IM
Fistularia_commersonii,6,4,D,3,2,IM
Fistularia_corneta,6,4,D,3,3,Pk
Fodiator_acutus,3,3,D,1,3,IM
Fodiator_rostratus,3,3,D,1,3,IM
Forcipiger_flavissimus,3,1,D,3,2,IM
Forcipiger_longirostris,3,2,D,2,2,IM
Fowlerichthys_avalonis,4,1,D,1,1,IM
Fundulus_parvipinnis,2,2,D,1,2,IM
Galeichthys_peruvianus,4,4,D,1,1,IM
Gempylus_serpens,6,4,N,1,3,IM
Genyonemus_lineatus,4,2,D,1,1,IM
Gerres_cinereus,4,3,N,4,1,IM
Gerres_simillimus,4,3,D,1,1,IM
Gibbonsia_elegans,3,1,D,1,1,IM
Gibbonsia_metzi,3,1,D,1,1,Pk
Gibbonsia_montereyensis,2,1,D,1,1,Pk
Gillellus_arenicola,1,1,D,1,1,FC
Gillellus_healae,2,1,D,1,1,FC
Gillellus_ornatus,1,1,D,1,1,FC
Gillellus_semicinctus,1,1,D,1,1,IM
Gillichthys_mirabilis,3,2,D,1,1,Pk
Gillichthys_seta,3,2,D,1,1,Pk
Girella_laevifrons,4,3,D,1,2,Pk
Girella_nigricans,5,4,D,4,2,Pk
Girella_simplicidens,4,3,D,4,2,IM
Gnathanodon_speciosus,6,4,D,3,2,FC
Gobiesox_eugrammus,1,1,D,1,1,IM
Gobiesox_maeandricus,3,1,D,1,1,IM
Gobiesox_marijeanae,1,1,D,1,1,IM
Gobiesox_papillifer,1,1,D,1,1,FC
Gobiesox_pinniger,2,1,D,1,1,Pk
Gobiesox_rhessodon,1,1,D,1,1,Pk
Gobiesox_schultzi,2,1,D,1,1,Pk
Gobiosoma_chiquita,1,1,D,1,1,Pk
Gobiosoma_seminudum,1,2,D,1,1,IS
Gobulus_crescentalis,1,1,D,1,1,IS
Gobulus_hancocki,1,1,D,1,1,IS
Gonostoma_atlanticum,1,2,N,1,2,IM
Gramma_loreto,2,1,D,3,1,IM
Grammonus_diagrammus,3,1,N,1,1,IM
Guentheridia_formosa,3,1,D,1,1,IM
Gymneleotris_seminuda,1,1,D,1,1,IM
Haemulon_aurolineatum,3,3,N,4,1,FC
Haemulon_carbonarium,4,3,N,3,1,IM
Haemulon_flaviguttatum,4,3,N,4,1,HD
Haemulon_flavolineatum,3,3,N,4,1,OM
Haemulon_macrostoma,4,3,N,3,1,OM
Haemulon_maculicauda,3,3,N,4,1,IS
Haemulon_melanurum,4,3,N,3,1,IM
Haemulon_parra,4,3,N,3,1,HD
Haemulon_plumierii,5,3,N,4,1,IM
Haemulon_sciurus,4,3,N,3,1,IM
Haemulon_scudderii,4,3,N,4,1,IM
Haemulon_sexfasciatum,5,3,N,3,1,IM
Haemulon_steindachneri,3,3,N,4,2,FC
Haemulon_striatum,3,3,N,3,2,FC
Haemulon_vittatum,3,3,N,4,2,FC
Haemulopsis_axillaris,4,3,D,1,1,OM
Haemulopsis_elongatus,3,3,D,1,1,HD
Haemulopsis_leuciscus,4,3,D,1,1,FC
Haemulopsis_nitidus,3,3,D,1,1,FC
Halichoeres_adustus,2,1,D,3,1,FC
Halichoeres_aestuaricola,3,2,D,1,1,IM
Halichoeres_bivittatus,4,3,D,3,1,HD
Halichoeres_burekae,2,2,D,3,2,HD
Halichoeres_chierchiae,3,1,D,3,1,HD
Halichoeres_dispilus,3,1,D,3,1,HD
Halichoeres_garnoti,3,2,D,1,1,Pk
Halichoeres_inornatus,3,2,D,1,1,HD
Halichoeres_insularis,1,1,D,3,1,HD
Halichoeres_melanotis,2,1,D,3,1,IM
Halichoeres_nicholsi,4,1,D,3,1,IM
Halichoeres_notospilus,3,1,D,3,1,IM
Halichoeres_pictus,2,3,D,1,2,IM
Halichoeres_poeyi,3,3,D,1,1,IM
Halichoeres_radiatus,5,3,D,3,1,IS
Halichoeres_semicinctus,4,1,D,3,1,IS
Harengula_thrissina,3,2,D,3,3,IM
Hemanthias_peruanus,4,3,D,3,2,Pk
Hemanthias_signifer,4,3,D,3,2,Pk
Hemicaranx_leucurus,4,4,D,3,2,Pk
Hemicaranx_zelotes,4,4,D,1,2,IM
Hemilepidotus_hemilepidotus,4,1,N,1,1,FC
Hemiramphus_saltator,4,3,D,4,3,IM
Heteropriacanthus_cruentatus,5,2,N,3,2,IM
Heterostichus_rostratus,5,1,D,1,1,IM
Hexagrammos_lagocephalus,5,2,D,1,3,IM
Hippocampus_ingens,3,1,N,1,1,IM
Hippoglossina_bollmani,3,2,D,1,1,Pk
Hippoglossina_stomata,4,2,D,1,1,Pk
Hippoglossina_tetrophthalma,4,2,D,1,1,IM
Hippoglossoides_elassodon,4,2,D,1,1,IM
Hirundichthys_marginatus,3,4,D,1,3,IM
Hirundichthys_oxycephalus,3,4,D,1,3,FC
Hirundichthys_rondeletii,3,4,D,1,3,FC
Hirundichthys_speculiger,3,4,D,1,3,Pk
Holacanthus_bermudensis,4,2,D,1,1,FC
Holacanthus_clarionensis,2,2,D,3,2,FC
Holacanthus_limbaughi,3,2,D,1,2,FC
Holacanthus_passer,4,2,D,3,2,IM
Holacanthus_tricolor,4,2,D,1,1,FC
Holocentrus_adscensionis,5,1,N,1,1,IM
Hoplopagrus_guentherii,6,3,N,1,1,FC
Hygophum_hanseni,1,1,N,1,2,FC
Hygophum_reinhardtii,1,1,N,1,2,FC
Hyperprosopon_anale,3,2,D,1,1,FC
Hyperprosopon_argenteum,3,2,D,4,1,Pk
Hyperprosopon_ellipticum,3,2,D,1,1,IM
Hypoplectrus_castroaguirrei,2,1,N,1,1,IM
Hypoplectrus_indigo,2,1,N,1,1,IM
Hypoplectrus_nigricans,3,1,N,1,1,FC
Hyporhamphus_gilli,3,4,D,3,3,FC
Hyporhamphus_naos,3,4,D,3,3,IM
Hyporhamphus_rosae,2,4,D,3,3,IM
Hyporhamphus_snyderi,2,4,D,1,3,IM
Hyporhamphus_unifasciatus,3,4,D,4,3,IM
Hyporthodus_acanthistius,6,3,N,1,1,IM
Hyporthodus_exsul,6,4,D,1,1,IM
Hyporthodus_nigritus,6,3,D,1,1,IM
Hyporthodus_niphobles,4,3,N,1,1,IM
Hyporthodus_niveatus,6,4,D,1,1,IM
Hypsoblennius_brevipinnis,2,1,D,1,1,IM
Hypsoblennius_gentilis,2,1,D,1,1,IM
Hypsoblennius_gilberti,3,1,D,1,1,OM
Hypsoblennius_jenkinsi,2,1,D,1,1,Pk
Hypsopsetta_guttulata,4,2,D,1,1,OM
Hypsurus_caryi,3,2,D,1,1,OM
Hypsypops_rubicundus,3,1,D,3,1,IM
Icelinus_cavifrons,2,1,D,1,1,OM
Icelinus_quadriseriatus,2,2,D,1,1,IM
Icichthys_lockingtoni,4,3,D,1,3,IM
Idiacanthus_antrostomus,4,2,N,1,2,Pk
Ilypnus_gilberti,1,1,D,1,1,FC
Ilypnus_luculentus,1,1,D,1,1,IM
Iniistius_pavo,4,2,D,1,1,IM
Isopisthus_remifer,4,3,D,1,2,IM
Isopsetta_isolepis,5,4,D,1,1,OM
Istiompax_indica,6,4,D,1,3,OM
Istiophorus_platypterus,6,4,D,1,3,FC
Johnrandallia_nigrirostris,3,2,D,3,2,IM
Jordania_zonope,2,1,D,1,1,FC
Joturus_pichardi,5,3,D,1,3,HD
Kajikia_audax,6,4,D,1,3,HD
Kathetostoma_averruncus,4,3,D,1,1,HD
Katsuwonus_pelamis,6,4,D,3,3,IM
Kuhlia_mugil,4,3,D,3,2,FC
Kyphosus_analogus,4,3,D,3,2,IM
Kyphosus_azureus,4,3,D,3,2,IM
Kyphosus_elegans,5,3,D,4,2,FC
Kyphosus_lutescens,5,3,D,1,2,FC
Kyphosus_ocyurus,5,4,D,3,3,OM
Kyphosus_sectatrix,5,3,D,3,2,HD
Kyphosus_vaigiensis,5,3,D,4,2,HD
Labrisomus_multiporosus,3,1,D,1,1,HD
Labrisomus_socorroensis,2,1,D,1,1,HD
Labrisomus_wigginsi,3,1,D,1,1,IM
Labrisomus_xanti,3,1,D,1,1,IM
Lactophrys_bicaudalis,4,2,D,1,1,IM
Lactophrys_triqueter,4,2,D,1,1,IM
Lactoria_diaphana,4,2,D,1,2,FC
